                                         GEOID  votes_dem  votes_rep  ...  index_right  District  id
0                                     12123-10         90        474  ...            1         2   2
2                                     12123-12        339        446  ...            1         2   2
4                                     12123-11         43        567  ...            1         2   2
7                                     12123-14        120        928  ...            1         2   2
9                                     12123-13        657        156  ...            1         2   2
19                             12077-3-BRISTOL        125        712  ...            1         2   2
49                                  12073-3502        573        110  ...            1         2   2
50                                  12073-3501       1212        456  ...            1         2   2
62                                  12073-3513       1492        439  ...            1         2   2
67                                    12123-07        110       1054  ...            1         2   2
70                                    12123-06         62        427  ...            1         2   2
72                                    12123-09         71        487  ...            1         2   2
73                                  12073-3507       1244        408  ...            1         2   2
75                                    12123-08        177        513  ...            1         2   2
76                                  12073-3509       1438        646  ...            1         2   2
83                                    12123-01        260        409  ...            1         2   2
85                                    12123-03        126        721  ...            1         2   2
87                                    12123-02        121        769  ...            1         2   2
89                                    12123-05        114        683  ...            1         2   2
91                                    12123-04          9        117  ...            1         2   2
203                        12079-05-GREENVILLE        563        374  ...            1         2   2
213                                 12073-5284        882        861  ...            1         2   2
315                           12079-04-SIRMANS         74        262  ...            1         2   2
328                         12077-1-ROCK BLUFF        200         85  ...            1         2   2
496                                 12073-3551         14         12  ...            1         2   2
592                                 12073-2253        253        300  ...            1         2   2
593                                 12073-2252        568        631  ...            1         2   2
595                                  12131-240         24        287  ...            1         2   2
597                                 12073-2251        235        173  ...            1         2   2
598                       12059-8-EAST BONIFAY        188        905  ...            1         2   2
604                     12079-03-LEE MACEDONIA        289       1424  ...            1         2   2
611                                  12131-230        104        709  ...            1         2   2
669                                  12131-210         31        319  ...            1         2   2
677                           12079-06-HAMBURG         49        212  ...            1         2   2
857                                 12073-3405        361        293  ...            1         2   2
858                                 12073-3401        851        387  ...            1         2   2
863                                 12073-3403        589        340  ...            1         2   2
885                                 12073-3412        296        109  ...            1         2   2
887                                 12073-3411       1705        583  ...            1         2   2
889                                 12073-3414         26         23  ...            1         2   2
890                                 12073-3413          7          0  ...            1         2   2
893                   12129-10-OCHLOCKONEE BAY        103        303  ...            1         2   2
894                                 12073-3409        537        192  ...            1         2   2
905                       12079-07-CHERRY LAKE        265        685  ...            1         2   2
954                                   12121-07        149        630  ...            1         2   2
956                                   12121-08        160        772  ...            1         2   2
957                                   12121-09        233        997  ...            1         2   2
973                                 12073-5165        118         32  ...            1         2   2
1072                            12077-8-ORANGE         45        168  ...            1         2   2
1268                                12073-5201        974        229  ...            1         2   2
1273                                12073-5203       1096        216  ...            1         2   2
1290                                12073-5209        297         93  ...            1         2   2
1297                                12073-5205        234         78  ...            1         2   2
1299                                12073-5204          0          1  ...            1         2   2
1301                                12073-5207       2166        697  ...            1         2   2
1321                                12073-5212         92         68  ...            1         2   2
1323                                12073-5211        734        233  ...            1         2   2
1324                                12073-5214        950        452  ...            1         2   2
1333                                12073-5219       1185        832  ...            1         2   2
1363                                12073-5223        131         41  ...            1         2   2
1365                                12073-5225       1932       1359  ...            1         2   2
1366                                12073-5224        152        110  ...            1         2   2
1370                                12073-5221       1339        551  ...            1         2   2
1371                                12073-5220        798        378  ...            1         2   2
1378                                12073-5227        156         73  ...            1         2   2
1381                                12073-5228         33         34  ...            1         2   2
1411                           12129-11-BETHEL        537        950  ...            1         2   2
1469                                12073-5258          0          2  ...            1         2   2
1471                                12073-5252        158         78  ...            1         2   2
1472                                12073-5251        912        918  ...            1         2   2
1474                                12073-3451         42         23  ...            1         2   2
1476                                12073-3453        818        551  ...            1         2   2
1483                                12073-3459        646        592  ...            1         2   2
1484                                12073-3455        925        669  ...            1         2   2
1490                                12073-3457        348        303  ...            1         2   2
1508                                12073-5263        805        889  ...            1         2   2
1509                                12073-5265         58         11  ...            1         2   2
1511                                12073-5264         61         18  ...            1         2   2
1516                                12073-3461        784        801  ...            1         2   2
1527                                12073-3467       1293       1021  ...            1         2   2
1533                                12073-3469       1332        764  ...            1         2   2
1536                                12073-3468         40          9  ...            1         2   2
1548                                12073-5261       1162       1118  ...            1         2   2
1550                                12073-5260       2232       1055  ...            1         2   2
1552                                12073-3473        774        644  ...            1         2   2
1553                                12073-3475        149         58  ...            1         2   2
1555                                12073-3477        306        242  ...            1         2   2
1557                         12129-05-ST MARKS         89        245  ...            1         2   2
1572                       12129-12-SHADEVILLE        641       1333  ...            1         2   2
1575                                 12013-301        135       1006  ...            1         2   2
1576                                 12013-302         42        480  ...            1         2   2
1629                          12129-09-PANACEA         90        371  ...            1         2   2
1692                          12059-2-PINE LOG         91        874  ...            1         2   2
1748                       12077-4-LAKE MYSTIC         75        744  ...            1         2   2
1770                                12073-2401        267         71  ...            1         2   2
1843                        12129-03-SOPCHOPPY        351        777  ...            1         2   2
1928                                12073-9000        233         90  ...            1         2   2
1936                                 12131-440        136        678  ...            1         2   2
1949                                 12131-430       1360       4372  ...            1         2   2
2061                                 12013-401        368        197  ...            1         2   2
2063                                 12013-402          3         61  ...            1         2   2
2188                                12073-2451        374        392  ...            1         2   2
2329                           12059-5-GRITNEY         28        452  ...            1         2   2
2358                     12059-1-PONCE DE LEON        110        848  ...            1         2   2
2433                                12073-2305       2780        492  ...            1         2   2
2435                                12073-2307          1          8  ...            1         2   2
2437                                12073-2306        948        136  ...            1         2   2
2439                                12073-2303        271          8  ...            1         2   2
2687                                12073-4119       2112       1809  ...            1         2   2
2698                                12073-4125       1993       1998  ...            1         2   2
2713                                 12131-320        402       1131  ...            1         2   2
2731                                 12131-310        836       2989  ...            1         2   2
2736                           12077-7-SUMATRA         11        130  ...            1         2   2
2764                                12073-4155        346        163  ...            1         2   2
2765                                12073-4157        375        288  ...            1         2   2
2766                                12073-4152         36         42  ...            1         2   2
2769                                12073-4154         93         10  ...            1         2   2
2771                                12073-4153        751        671  ...            1         2   2
2775                                12073-4159        327        233  ...            1         2   2
2804                                12073-4167       1151       1423  ...            1         2   2
2808                                12073-4168         47         34  ...            1         2   2
2809                                12073-4163        809        835  ...            1         2   2
2810                                12073-4162         23         21  ...            1         2   2
2830                                12073-4161       1067       1330  ...            1         2   2
2834                                12073-4173        308        432  ...            1         2   2
2847                                12073-4184        336        259  ...            1         2   2
2878                          12079-10-MADISON        679        527  ...            1         2   2
2975                          12059-3-NEW HOPE         76        683  ...            1         2   2
2978                                12073-2359        326        130  ...            1         2   2
2980                                12073-2355         78         46  ...            1         2   2
2981                                12073-2358        173        110  ...            1         2   2
2984                                 12013-101        146        678  ...            1         2   2
2986                                 12013-102         95        469  ...            1         2   2
2991                                12073-2363        282        239  ...            1         2   2
2992                                 12131-360         97        493  ...            1         2   2
2993                                12073-2365        879       1987  ...            1         2   2
3001                                12073-2366        111        177  ...            1         2   2
3009                                12073-4101        746        452  ...            1         2   2
3011                                12073-4103       1433       1140  ...            1         2   2
3012                                 12131-350         95        525  ...            1         2   2
3013                                12073-4109        116         93  ...            1         2   2
3015                                12073-4105        116         16  ...            1         2   2
3016                                12073-4107        239        156  ...            1         2   2
3017                                12073-4106         14          0  ...            1         2   2
3018                                12073-1303        341        127  ...            1         2   2
3023                                12073-1302        659        381  ...            1         2   2
3025                                12073-2380        140         40  ...            1         2   2
3026                                12073-1301        632        120  ...            1         2   2
3031                                 12131-340        233        544  ...            1         2   2
3033                                12073-1315        189         10  ...            1         2   2
