Plan,District,District Area,Incrumbent,Population,White
1,1,8162.47,Buddy Carter,765137,440636
1,2,10127.43,Sanford D. Bishop Jr.,765137,305611
1,3,4251.2,A. Drew Ferguson,765136,492494
1,4,417.8,Hank Johnson,765135,197536
1,5,250.46,Nikema Williams,765137,273819
1,6,810.78,OPEN,765136,487400
1,7,322.79,Carolyn Bourdeaux,765137,225905
1,8,11088.92,Austin Scott,765136,443123
1,9,4006.31,Andrew S. Clyde,765137,495078
1,10,5127.68,Jody Hice,765135,486487
1,11,1168.54,Barry Loudermilk,765137,469264
1,12,9829.97,Rick Allen,765136,398843
1,13,599.11,David Scott,765137,125106
1,14,3293.59,Marjorie Taylor Greene,765135,520854
2,1,,Buddy Carter,765137,432991
2,2,,Sanford D. Bishop Jr.,765135,300928
2,3,,A. Drew Ferguson,765137,516697
2,4,,Hank Johnson,765136,189601
2,5,,Nikema Williams,765137,278816
2,6,,Lucy McBath,765137,428783
2,7,,Carolyn Bourdeaux,765135,246144
2,8,,Austin Scott,765136,452425
2,9,,Andrew S. Clyde,765137,537585
2,10,,OPEN,765137,271853
2,11,,Barry Loudermilk,765137,507362
2,12,,Rick Allen,765136,399018
2,13,,David Scott,765135,196640
2,14,,Marjorie Taylor Greene,765136,598642
