                                                  GEOID  votes_dem  ...  index_right  District
0                                    28015-WEST CARROLL         36  ...            1         2
5                                            28011-SHAW        850  ...            1         2
6                                  28089-CAMERON BETHEL         70  ...            1         2
7                                 28097-DUCK HILL NORTH        100  ...            1         2
11                                  28011-ROSEDALE WEST        233  ...            1         2
13         28107-BATESVILLE NORTH B PATTON LN COMM CNTR        869  ...            1         2
17                                   28055-GRACE VOTING         46  ...            1         2
24                                 28079-CARTHAGE NORTH        334  ...            1         2
26                                    28063-CANNONSBURG        195  ...            1         2
30                                      28149-BRUNSWICK         30  ...            1         2
31                             28157-WOODVILLE 2ND 2010        387  ...            1         2
32                           28133-31-INDIANOLA 3 SOUTH        516  ...            1         2
33                                      28161-ONE SOUTH        150  ...            1         2
41                                        28119-CROWDER         37  ...            1         2
42                                         28029-WESSON         93  ...            1         2
43                                       28063-STAMPLEY        230  ...            1         2
45                               28161-THREE NORTH WEST        250  ...            1         2
50                                        28013-BRUCE 3        227  ...            1         2
51                                       28005-NEW ZION         37  ...            1         2
55                                      28137-LOOXAHOMA        344  ...            1         2
60                                          28011-SCOTT         65  ...            1         2
65                           28051-1 DURANT ST ANDERSON        205  ...            1         2
68                      28151-SWIFTWATER BAPTIST CHURCH         85  ...            1         2
70                                  28083-GWD SOUTHEAST       1054  ...            1         2
78                                      28063-HARRISTON        193  ...            1         2
81                            28051-BEAT 5 CRUGER (A-Z)        184  ...            1         2
82                                 28001-1 BY-PASS FIRE        521  ...            1         2
84                                    28083-MORGAN CITY        101  ...            1         2
87                                28107-ENON WATER BLDG         33  ...            1         2
90                                       28079-EDINBURG         20  ...            1         2
91                        28043-BOX 2 GRENADA CO OFFICE        267  ...            1         2
95                        28053-PUTNAM SOUTH - 4PS 4030         41  ...            1         2
96                         28055-MAYERSVILLE COURTHOUSE        151  ...            1         2
100                                     28005-FORK EAST         77  ...            1         2
101                                    28021-COUNTY 3-B         16  ...            1         2
102                              28029-HAZLEHURST NORTH        121  ...            1         2
104                                    28021-COUNTY 3-A        660  ...            1         2
106                                   28001-4 NORTHSIDE       1062  ...            1         2
118                                   28011-MOUND BAYOU        894  ...            1         2
121                                    28071-HARMONTOWN         43  ...            1         2
124                                    28149-ELKS LODGE        685  ...            1         2
125                     28001-3 NPS MULTI PURPOSE BLDG.        236  ...            1         2
126                                 28001-2 DUNCAN PARK        387  ...            1         2
131                               28163-4-4 TEEN CENTER        815  ...            1         2
133                            28107-UNION FIRE STATION        221  ...            1         2
139                                     28029-DENTVILLE         62  ...            1         2
140                             28135-CHARLESTON BEAT 3        268  ...            1         2
141                             28135-CHARLESTON BEAT 2        537  ...            1         2
145                             28135-CHARLESTON BEAT 1        348  ...            1         2
147                                      28089-TOUGALOO         94  ...            1         2
149                                            28049-73        424  ...            1         2
150                                            28049-72        354  ...            1         2
151                                            28049-71        475  ...            1         2
152                                            28049-70        294  ...            1         2
154                                            28049-77        614  ...            1         2
156                                            28049-76        322  ...            1         2
158                                     28015-JEFFERSON         23  ...            1         2
159                                            28049-74        410  ...            1         2
161                                   28133-12-MOORHEAD        661  ...            1         2
162                                        28027-DUBLIN         73  ...            1         2
165                                            28049-79       1106  ...            1         2
166                                            28049-78        687  ...            1         2
168                     28125-ROLLING FORK 1ST DISTRICT        254  ...            1         2
170                                 28143-WESTEND STORE         39  ...            1         2
175                                     28037-BAD BAYOU         16  ...            1         2
181                                     28049-RAYMOND 2        726  ...            1         2
183                                     28049-RAYMOND 1        647  ...            1         2
184                                         28005-ARIEL        218  ...            1         2
185                                       28079-RENFROE         66  ...            1         2
188                        28053-ISOLA NORTH - 2IN 2010        441  ...            1         2
190                                            28049-62        816  ...            1         2
192                                            28049-61        331  ...            1         2
193                                            28049-60        230  ...            1         2
194                                         28005-WALLS        169  ...            1         2
197                                   28001-3 PALESTINE        492  ...            1         2
198                                            28049-64        269  ...            1         2
200                                            28049-63        281  ...            1         2
202                                       28007-CARMACK          8  ...            1         2
203                                            28049-69        678  ...            1         2
205                                            28049-68       1219  ...            1         2
209                        28163-3-1 MOUND ST. BUILDING        304  ...            1         2
212                                    28015-FIRE TOWER        437  ...            1         2
213                  28055-VALLEY PARK COMMUNITY CENTER         19  ...            1         2
215                                          28149-JETT        732  ...            1         2
216                                    28001-2 KINGSTON         96  ...            1         2
